w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,config_id,score
0.0696,0.1969,0.0000,0.0429,0.0000,0.0000,0.0006,0.0020,0.0016,0.0184,0.0409,0.6209,0.0063,0.0000,0.0000,0,-0.3994439013523976
0.0192,0.0000,0.0000,0.0000,0.0000,0.0001,0.0203,0.1631,0.0000,0.0106,0.0000,0.2332,0.0610,0.0000,0.4925,1,-0.6267754090601083
0.0000,0.0240,0.0000,0.0121,0.0077,0.0000,0.0000,0.7847,0.0000,0.0000,0.0000,0.0627,0.1088,0.0000,0.0000,2,-0.5135199173520072
0.0272,0.0000,0.0000,0.0004,0.0000,0.0004,0.0000,0.4204,0.0000,0.0022,0.0000,0.0000,0.5276,0.0000,0.0218,3,-0.822264303701107
0.0000,0.0597,0.0000,0.0037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6228,0.2963,0.0175,0.0000,0.0000,4,0.44684978586559804
0.4300,0.0005,0.0000,0.0077,0.0669,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000,0.0502,0.1671,0.0000,0.2767,5,0.1497131733719683
0.0000,0.0000,0.0000,0.0001,0.2955,0.0024,0.0183,0.0021,0.0306,0.5935,0.0000,0.0000,0.0005,0.0000,0.0570,6,-0.26388355825204907
0.0007,0.0000,0.0000,0.0000,0.0345,0.0000,0.0057,0.0000,0.6376,0.0000,0.0000,0.0000,0.0000,0.3214,0.0000,7,-0.6190652214809025
0.0000,0.0002,0.0000,0.1392,0.0000,0.0032,0.0008,0.0001,0.0001,0.0000,0.0000,0.8561,0.0000,0.0000,0.0003,8,-0.2215656377194426
0.0000,0.7562,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0176,0.0000,0.0000,0.0191,0.0000,0.2051,0.0000,9,0.23059258359928161
0.6525,0.2969,0.0000,0.0049,0.0247,0.0000,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0159,10,0.14665052596002337
0.3981,0.0000,0.0011,0.0977,0.0173,0.1445,0.0009,0.0000,0.0000,0.0000,0.0000,0.1574,0.0476,0.1354,0.0000,11,0.5155705276383823
0.0095,0.0300,0.0000,0.0004,0.0593,0.0006,0.8498,0.0000,0.0000,0.0002,0.0000,0.0475,0.0002,0.0000,0.0025,12,-0.08664756676592152
0.4930,0.0000,0.0000,0.0692,0.0000,0.0098,0.0000,0.1815,0.0000,0.0000,0.1069,0.0008,0.0000,0.1388,0.0000,13,0.574651073842191
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9430,0.0000,0.0000,0.0000,0.0000,0.0428,0.0000,0.0141,14,-0.802446367749092
0.0000,0.0000,0.0000,0.6520,0.0906,0.0000,0.0000,0.0000,0.0108,0.0000,0.2194,0.0090,0.0183,0.0000,0.0000,15,0.46355904935991293
0.0009,0.0079,0.0000,0.0001,0.0000,0.0000,0.0000,0.0415,0.0000,0.0000,0.0000,0.1462,0.0945,0.0295,0.6793,16,-0.5584377321970091
0.0104,0.1156,0.0000,0.0000,0.0315,0.4662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0043,0.0000,0.0000,0.3719,17,-0.17901466067797325
0.2582,0.0000,0.0000,0.1475,0.0140,0.0000,0.0000,0.0233,0.0000,0.4448,0.0024,0.0000,0.1099,0.0000,0.0000,18,0.362560298412772
0.0003,0.0000,0.0000,0.0000,0.0067,0.0000,0.1142,0.0160,0.6717,0.0000,0.0000,0.0002,0.1845,0.0063,0.0001,19,-1.70456198115936
0.2570,0.0006,0.0000,0.3031,0.0000,0.0000,0.2463,0.0000,0.0000,0.0001,0.1464,0.0000,0.0368,0.0085,0.0012,20,0.38440369365679
0.5837,0.0291,0.0000,0.0000,0.0607,0.0000,0.0165,0.2651,0.0343,0.0000,0.0027,0.0000,0.0000,0.0000,0.0079,21,0.37095811759460734
0.0354,0.0389,0.0000,0.0051,0.0000,0.7494,0.0000,0.0386,0.0400,0.0310,0.0000,0.0000,0.0262,0.0000,0.0353,22,-0.8198545904950749
0.0000,0.0000,0.0000,0.4795,0.0000,0.0000,0.0000,0.0323,0.0000,0.0017,0.0000,0.0000,0.4751,0.0035,0.0079,23,-0.36535275298049524
0.0000,0.0000,0.0000,0.0894,0.0000,0.0000,0.0000,0.0000,0.8926,0.0108,0.0000,0.0003,0.0002,0.0031,0.0036,24,-1.5917988266440382
0.1229,0.0000,0.0000,0.0139,0.0000,0.0000,0.0003,0.0003,0.0104,0.0001,0.7812,0.0000,0.0708,0.0000,0.0000,25,1.2550059818368697
0.0000,0.0001,0.0000,0.0146,0.0003,0.0000,0.0000,0.0000,0.0018,0.2493,0.0000,0.0000,0.0011,0.7301,0.0027,26,0.2885119234411327
0.0000,0.0000,0.0000,0.0112,0.8252,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000,0.1628,0.0000,0.0000,27,-0.751536899507118
0.0000,0.9482,0.0033,0.0091,0.0001,0.0001,0.0000,0.0000,0.0392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28,-0.234308001713441
0.1742,0.0504,0.0000,0.2660,0.0231,0.1096,0.0000,0.0007,0.0000,0.0010,0.0000,0.0703,0.0000,0.2869,0.0178,29,0.9003420046022895
0.0478,0.0000,0.0000,0.3326,0.0000,0.0000,0.0000,0.0000,0.5671,0.0060,0.0000,0.0000,0.0465,0.0000,0.0000,30,-0.7775187347960766
0.0000,0.0000,0.0000,0.2002,0.0000,0.0000,0.0480,0.0000,0.0000,0.0000,0.0000,0.7314,0.0204,0.0000,0.0000,31,-0.45029631561557654
0.0040,0.0634,0.0000,0.0102,0.0000,0.0061,0.0000,0.0000,0.0972,0.8134,0.0000,0.0027,0.0030,0.0000,0.0000,32,0.25127821629972874
0.9186,0.0048,0.0000,0.0159,0.0001,0.0019,0.0000,0.0000,0.0000,0.0496,0.0000,0.0000,0.0000,0.0000,0.0090,33,0.164495653727449
0.0002,0.0020,0.0000,0.8529,0.0000,0.1442,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0007,0.0000,0.0000,34,-0.28874982527617654
0.0000,0.0000,0.0001,0.6110,0.0318,0.1910,0.0000,0.0000,0.0000,0.0000,0.0702,0.0032,0.0829,0.0000,0.0098,35,0.1973608821548518
0.0025,0.0568,0.0017,0.1525,0.0001,0.5067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0431,0.0000,0.2367,0.0000,36,-0.3182129326266407
0.0018,0.0000,0.0000,0.8322,0.0000,0.0000,0.0000,0.0000,0.0002,0.0023,0.0000,0.0811,0.0000,0.0822,0.0000,37,0.04244573286702047
0.1407,0.3308,0.0000,0.4293,0.0000,0.0056,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0032,0.0000,0.0899,38,0.0484892202884362
0.0006,0.0000,0.0000,0.7347,0.0108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2536,0.0003,0.0000,0.0000,39,-0.016248998860195502
0.0000,0.0000,0.0001,0.0130,0.0198,0.0000,0.0000,0.0000,0.3258,0.0000,0.0000,0.0000,0.0000,0.0000,0.6413,40,-0.38090060304241075
0.0002,0.4043,0.0161,0.0076,0.0002,0.0732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0341,0.1893,0.0000,0.2750,41,-0.02199230770068709
0.0111,0.0359,0.0000,0.8101,0.0000,0.0000,0.0000,0.0000,0.1165,0.0000,0.0000,0.0000,0.0000,0.0264,0.0000,42,0.022655132298739722
0.0000,0.0002,0.0000,0.1913,0.7760,0.0002,0.0000,0.0002,0.0123,0.0000,0.0000,0.0198,0.0000,0.0000,0.0000,43,-0.19556091824573865
0.3203,0.0019,0.0000,0.6045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.0195,0.0092,0.0000,0.0433,44,-0.10382789406582427
0.5497,0.0857,0.0000,0.2107,0.0619,0.0000,0.0001,0.0000,0.0000,0.0000,0.0106,0.0000,0.0001,0.0812,0.0000,45,0.4379886891169376
0.6817,0.0027,0.0000,0.0193,0.0009,0.0007,0.0000,0.2945,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,46,-0.07196614788254894
0.0167,0.0011,0.0000,0.0000,0.0000,0.1164,0.0000,0.0000,0.0001,0.0000,0.6936,0.1719,0.0001,0.0000,0.0000,47,0.852569337449817
0.0000,0.0091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0011,0.0000,0.9896,0.0000,48,0.1449427937015022
0.7422,0.0000,0.0059,0.0000,0.0000,0.0001,0.0099,0.0061,0.0000,0.0002,0.0155,0.0012,0.0000,0.2190,0.0000,49,0.35004528085549325
0.2170,0.0000,0.0000,0.0015,0.0000,0.0000,0.0003,0.0000,0.0002,0.0000,0.0000,0.0797,0.0212,0.6800,0.0002,50,0.2649311972584999
0.1568,0.0118,0.0000,0.0233,0.0003,0.0000,0.0533,0.0000,0.0347,0.0000,0.0000,0.0000,0.7199,0.0000,0.0000,51,-0.807734418581353
0.0019,0.0010,0.0000,0.1260,0.6788,0.1679,0.0038,0.0000,0.0040,0.0001,0.0000,0.0127,0.0025,0.0000,0.0015,52,-0.8545204509555697
0.0001,0.0803,0.0000,0.0012,0.0000,0.0427,0.0000,0.0000,0.0000,0.0000,0.1017,0.0000,0.7735,0.0000,0.0005,53,-0.7101983440812773
0.0090,0.0090,0.0090,0.0896,0.0090,0.0090,0.6766,0.0227,0.0090,0.0090,0.0090,0.1115,0.0090,0.0090,0.0090,54,-0.4592293566768344
0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.3342,0.0090,0.5482,0.0090,55,0.12474272613704858
0.0092,0.0092,0.0092,0.0092,0.0351,0.0092,0.3396,0.0092,0.0092,0.0092,0.0092,0.4228,0.1017,0.0092,0.0092,56,-0.01501695529376617
0.2750,0.6094,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,57,0.2999295887054218
0.0089,0.7920,0.0089,0.0921,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,58,0.6973302513716125
0.0090,0.0090,0.0090,0.1803,0.0090,0.0090,0.0433,0.0090,0.0090,0.0090,0.0090,0.6589,0.0184,0.0090,0.0090,59,-0.13963947482514855
0.0090,0.0090,0.0090,0.0090,0.2800,0.0090,0.0090,0.0090,0.0090,0.0090,0.4849,0.0090,0.0090,0.1269,0.0090,60,1.113356200440342
0.0092,0.4502,0.0092,0.0092,0.0092,0.1071,0.0092,0.0242,0.0092,0.0092,0.0092,0.2408,0.0092,0.0858,0.0092,61,0.17145635637070147
0.0093,0.0416,0.0093,0.0093,0.0093,0.0093,0.0105,0.0093,0.0093,0.0349,0.0093,0.4004,0.1345,0.2944,0.0093,62,-0.20574952948148426
0.0091,0.0091,0.0091,0.7982,0.0091,0.0244,0.0091,0.0358,0.0091,0.0091,0.0091,0.0268,0.0237,0.0091,0.0091,63,0.41382271292258893
0.0090,0.0090,0.0090,0.0090,0.0767,0.2211,0.0090,0.0090,0.0090,0.0090,0.0090,0.5944,0.0090,0.0090,0.0090,64,-0.2730977326563136
0.7551,0.0280,0.0091,0.0844,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0329,0.0091,0.0091,65,0.21659508049910836
0.0091,0.0091,0.0091,0.6369,0.1190,0.0091,0.0091,0.0360,0.0091,0.0091,0.0091,0.0091,0.1084,0.0091,0.0091,66,-0.11881920240593051
0.0093,0.2324,0.0093,0.1099,0.2035,0.0093,0.0093,0.0160,0.0093,0.0093,0.0093,0.3451,0.0093,0.0093,0.0093,67,-0.6625274599626153
0.0091,0.0236,0.0091,0.0091,0.0091,0.8252,0.0091,0.0256,0.0091,0.0091,0.0091,0.0091,0.0259,0.0091,0.0091,68,-0.6685287968782543
0.0089,0.0089,0.0089,0.7567,0.0089,0.1279,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,69,0.27791511786522693
0.0645,0.1824,0.0093,0.0397,0.0093,0.0093,0.0093,0.0093,0.0093,0.0171,0.0379,0.5751,0.0093,0.0093,0.0093,70,0.08910214580186963
0.0090,0.1672,0.0090,0.0090,0.0090,0.6941,0.0090,0.0307,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,71,-0.312146161819643
0.0092,0.0092,0.0092,0.0092,0.0092,0.0824,0.0092,0.0194,0.0109,0.0092,0.6588,0.1351,0.0107,0.0092,0.0092,72,1.1296868749162532
0.7213,0.0092,0.0092,0.0092,0.0092,0.1242,0.0092,0.0092,0.0092,0.0267,0.0092,0.0268,0.0092,0.0092,0.0092,73,0.4387831067509978
0.0090,0.0090,0.0090,0.0157,0.5527,0.0090,0.0090,0.3241,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,74,-0.4563666750759712
0.0358,0.0089,0.0089,0.0089,0.4308,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.4263,0.0089,75,0.1905663619456948
0.1549,0.0090,0.0090,0.0090,0.5234,0.0090,0.0090,0.0090,0.0090,0.0090,0.1797,0.0090,0.0428,0.0090,0.0090,76,0.6748665858597178
0.0089,0.0089,0.0089,0.0089,0.0089,0.5368,0.0089,0.0089,0.0089,0.3471,0.0089,0.0089,0.0089,0.0089,0.0089,77,-0.3419901978056143
0.0092,0.0191,0.2905,0.0092,0.0092,0.3125,0.0092,0.2331,0.0092,0.0092,0.0092,0.0243,0.0092,0.0379,0.0092,78,-0.4234546190430623
0.0090,0.0090,0.0090,0.0090,0.7979,0.0090,0.0090,0.0105,0.0090,0.0090,0.0090,0.0592,0.0332,0.0090,0.0090,79,-0.19215846385019872
0.0479,0.0443,0.0091,0.0091,0.0091,0.0091,0.0091,0.7795,0.0091,0.0091,0.0091,0.0091,0.0091,0.0278,0.0091,80,-0.00795513976300033
0.0089,0.0089,0.0089,0.0089,0.8459,0.0180,0.0089,0.0089,0.0089,0.0288,0.0089,0.0089,0.0089,0.0089,0.0089,81,-0.3872705880703397
0.0092,0.0092,0.0092,0.7150,0.0092,0.0913,0.0092,0.0309,0.0092,0.0092,0.0092,0.0542,0.0092,0.0092,0.0168,82,0.29509305609851616
0.0090,0.0090,0.0090,0.3347,0.0090,0.4662,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0907,0.0090,83,0.30326684057055536
0.0317,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.4541,0.0090,0.1547,0.0090,0.0090,0.0090,0.2601,0.0090,84,0.2697084413014846
0.0091,0.0091,0.0091,0.0091,0.1319,0.0091,0.5584,0.0091,0.0091,0.0091,0.0091,0.1391,0.0705,0.0091,0.0091,85,-0.14593941969143323
0.0090,0.5637,0.0090,0.0090,0.0090,0.0487,0.0090,0.0090,0.0090,0.0090,0.0090,0.2801,0.0090,0.0090,0.0090,86,0.28284112829299013
0.0091,0.2882,0.0091,0.3712,0.1516,0.0530,0.0091,0.0091,0.0091,0.0091,0.0447,0.0091,0.0091,0.0091,0.0091,87,0.030007143826331045
0.0090,0.0090,0.0090,0.8726,0.0090,0.0100,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,88,-0.10384102453831251
0.0091,0.3160,0.0091,0.2336,0.0091,0.0091,0.0091,0.0106,0.0091,0.0091,0.0091,0.3397,0.0091,0.0091,0.0091,89,-0.2518387574425475
0.0092,0.7848,0.0092,0.0116,0.0106,0.0092,0.0092,0.0092,0.0127,0.0092,0.0092,0.0092,0.0887,0.0092,0.0092,90,0.4126495964272856
0.0237,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0104,0.0091,0.8568,0.0091,0.0091,0.0091,0.0091,0.0091,91,-0.23905222825406328
0.0371,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.2135,0.6270,0.0091,0.0091,0.0091,0.0223,92,1.0466692357930245
0.5702,0.0092,0.0092,0.0092,0.0092,0.0092,0.0373,0.0092,0.0092,0.0092,0.0982,0.0092,0.0092,0.1933,0.0092,93,0.5529664916066678
0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0515,0.0909,0.0090,0.0090,0.7492,0.0090,94,0.7291526613778649
0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090,0.1776,0.1965,0.0090,0.5177,0.0090,95,0.6674604279535258
0.0090,0.5839,0.0090,0.0090,0.0090,0.0090,0.0090,0.0200,0.0090,0.0090,0.2815,0.0153,0.0090,0.0090,0.0090,96,0.5906371461292319
0.0089,0.0089,0.0089,0.0089,0.0089,0.8270,0.0089,0.0089,0.0089,0.0089,0.0579,0.0089,0.0089,0.0089,0.0089,97,-0.4154608108927092
0.0089,0.0374,0.0089,0.5672,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.2880,0.0089,0.0089,0.0089,0.0089,98,0.696966132658007
0.0090,0.0090,0.0090,0.0090,0.1872,0.0090,0.0090,0.0090,0.0090,0.0090,0.0621,0.6432,0.0090,0.0090,0.0090,99,-0.43532861458640776
0.0090,0.0090,0.0090,0.0090,0.7998,0.0090,0.0090,0.0090,0.0090,0.0090,0.0837,0.0090,0.0090,0.0090,0.0090,100,-0.5144403384931078
